year,month,ifo,peak_time,peak_time_ns,start_time,start_time_ns,duration,search,process_id,event_id,peak_frequency,central_freq,bandwidth,channel,amplitude,snr,confidence,chisq,chisq_dof,param_one_name,param_one_value
2016,January,L1,1135689234,875000000,1135689227,250000000,12.75,Omicron,process:process_id:0,sngl_burst:event_id:36,18.52425,3820.903076,7628.500977,LSC-DARM_OUT_DQ,1.61928,1051.424927,0,0,0,phase,1.67692
2016,January,L1,1135753175,375243902,1135753169,660156011,11.4043,Omicron,process:process_id:0,sngl_burst:event_id:13,7715.249512,3901.419189,7789.533203,LSC-DARM_OUT_DQ,0.014877,309551.6563,0,0,0,phase,-1.51519
2016,January,L1,1135847011,179687023,1135847008,500000000,8,Omicron,process:process_id:0,sngl_burst:event_id:14,26.94878,3820.726318,7628.85498,LSC-DARM_OUT_DQ,7.03537,1179.638794,0,0,0,phase,0.63051
2016,January,L1,1135848462,519531011,1135848460,0,5.5,Omicron,process:process_id:0,sngl_burst:event_id:20,44.819481,3205.633057,6400.94873,LSC-DARM_OUT_DQ,9.14201,1888.194336,0,0,0,phase,-3.11213
2016,January,L1,1136015489,687500000,1136015474,750000000,15.25,Omicron,process:process_id:0,sngl_burst:event_id:1,40.943748,420.936676,828.568237,LSC-DARM_OUT_DQ,0.819338,1300.982422,0,0,0,phase,0.58563
2016,January,L1,1136106224,557616949,1136106222,0,7.5,Omicron,process:process_id:0,sngl_burst:event_id:8,265.897278,2794.725098,5576.145508,LSC-DARM_OUT_DQ,3.10048,1072.443848,0,0,0,phase,-1.68777
2016,January,L1,1136266636,750243902,1136266629,156250000,9.84375,Omicron,process:process_id:0,sngl_burst:event_id:42,7715.249512,3900.297852,7791.775879,LSC-DARM_OUT_DQ,0.005472,115579.8828,0,0,0,phase,2.73156
2016,January,L1,1136553456,312500000,1136553448,0,9,Omicron,process:process_id:0,sngl_burst:event_id:11,20.500389,3900.092773,7792.185547,LSC-DARM_OUT_DQ,2.45361,1616.300293,0,0,0,phase,0.42006
2016,January,L1,1136597260,169433116,1136597256,750000000,6.5,Omicron,process:process_id:0,sngl_burst:event_id:0,342.908112,2481.81665,4946.474609,LSC-DARM_OUT_DQ,8.70032,2534.506348,0,0,0,phase,-0.54398
2016,January,L1,1136676397,562743902,1136676389,355468034,9.64453,Omicron,process:process_id:0,sngl_burst:event_id:55,7715.249512,3900.092773,7792.185547,LSC-DARM_OUT_DQ,0.003671,79625.03906,0,0,0,phase,1.68518
2016,January,L1,1136676399,62743902,1136676399,122070,7.72888,Omicron,process:process_id:0,sngl_burst:event_id:0,7715.249512,3900.092773,7792.185547,LSC-DARM_OUT_DQ,0.030949,673992.1875,0,0,0,phase,1.39273
2016,January,L1,1136701216,812500000,1136701209,250000000,7.75,Omicron,process:process_id:0,sngl_burst:event_id:12,29.31955,3900.092773,7792.185547,LSC-DARM_OUT_DQ,3.32658,2866.631836,0,0,0,phase,-1.21792
2016,January,L1,1136807179,243902,1136807173,148437023,7.85156,Omicron,process:process_id:0,sngl_burst:event_id:19,7715.249512,3901.419189,7789.533203,LSC-DARM_OUT_DQ,0.009758,215764.5156,0,0,0,phase,-2.42456
2016,January,L1,1135698609,875000000,1135698600,250000000,9.75,Omicron,process:process_id:0,sngl_burst:event_id:0,15.03477,3900.092773,7792.185547,LSC-MCL_IN1_DQ,0.052605,1183.65332,0,0,0,phase,-1.27428
2016,January,L1,1136266636,312743902,1136266634,170409917,3.44287,Omicron,process:process_id:0,sngl_burst:event_id:130,7715.249512,3900.672119,7791.027344,LSC-MCL_IN1_DQ,0.000089,5629.064941,0,0,0,phase,2.32198
2016,January,L1,1136676398,562743902,1136676397,43457031,1.95654,Omicron,process:process_id:0,sngl_burst:event_id:111,7715.249512,3901.419189,7789.533203,LSC-MCL_IN1_DQ,0.000027,1391.280273,0,0,0,phase,-0.07353
2016,January,L1,1136676399,62743902,1136676399,488042,1.05811,Omicron,process:process_id:0,sngl_burst:event_id:0,7715.249512,3901.419189,7789.533203,LSC-MCL_IN1_DQ,0.000021,1147.285889,0,0,0,phase,-1.75449
2016,January,L1,1136701216,750000000,1136701206,750000000,10.25,Omicron,process:process_id:0,sngl_burst:event_id:37,11.46198,3900.092773,7792.185547,LSC-MCL_IN1_DQ,0.086442,1217.53894,0,0,0,phase,-0.78095
2016,January,L1,1135698609,875000000,1135698600,500000000,9.5,Omicron,process:process_id:0,sngl_burst:event_id:0,15.03477,3900.092773,7792.185547,LSC-MCL_OUT_DQ,117.882004,1184.611572,0,0,0,phase,1.66618
2016,January,L1,1136266636,750243902,1136266629,750000000,9.25,Omicron,process:process_id:0,sngl_burst:event_id:125,7715.249512,3900.092773,7792.185547,LSC-MCL_OUT_DQ,30.627399,28062.33789,0,0,0,phase,-0.41169
2016,January,L1,1136676398,562743902,1136676393,687500000,5.3125,Omicron,process:process_id:0,sngl_burst:event_id:102,7715.249512,3900.092773,7792.185547,LSC-MCL_OUT_DQ,3.00144,2258.028564,0,0,0,phase,3.06829
2016,January,L1,1136676399,62743902,1136676399,488042,6.02783,Omicron,process:process_id:0,sngl_burst:event_id:0,7715.249512,3900.092773,7792.185547,LSC-MCL_OUT_DQ,8.15167,6381.821777,0,0,0,phase,1.39089
2016,January,L1,1136701216,750000000,1136701206,375000000,10.625,Omicron,process:process_id:0,sngl_burst:event_id:36,11.46198,3900.092773,7792.185547,LSC-MCL_OUT_DQ,215.255005,1320.825562,0,0,0,phase,1.78584
2016,January,L1,1136929273,875000000,1136929267,3906011,6.99609,Omicron,process:process_id:0,sngl_burst:event_id:0,15.03477,3662.51123,7317.022461,LSC-MCL_OUT_DQ,102.516998,1011.343018,0,0,0,phase,2.45149
2016,January,L1,1136266635,312743902,1136266630,500000000,8.5,Omicron,process:process_id:0,sngl_burst:event_id:72,7715.249512,3900.092773,7792.185547,LSC-MICH_IN1_DQ,0.271052,36582.5,0,0,0,phase,0.93979
2016,January,L1,1136676398,562743902,1136676393,500000000,5.5,Omicron,process:process_id:0,sngl_burst:event_id:53,7715.249512,3900.092773,7792.185547,LSC-MICH_IN1_DQ,0.170336,20091.46875,0,0,0,phase,-0.09093
2016,January,L1,1136676399,62743902,1136676399,488042,3.49951,Omicron,process:process_id:0,sngl_burst:event_id:0,7715.249512,3900.672119,7791.027344,LSC-MICH_IN1_DQ,0.011418,1369.75354,0,0,0,phase,-1.74098
2016,January,L1,1136266636,750122070,1136266623,112303972,15.8877,Omicron,process:process_id:0,sngl_burst:event_id:104,7144.620605,3900.092773,7792.185547,LSC-MICH_OUT_DQ,2.57776,611564.75,0,0,0,phase,1.62073
2016,January,L1,1136676398,562622070,1136676385,431639909,13.56836,Omicron,process:process_id:0,sngl_burst:event_id:97,7144.620605,3900.092773,7792.185547,LSC-MICH_OUT_DQ,1.68026,468289.4063,0,0,0,phase,-2.70593
2016,January,L1,1136536560,3906011,1136536559,796875000,0.45312,Omicron,process:process_id:0,sngl_burst:event_id:19,43.879509,480.727539,947.397034,LSC-POP_A_RF45_I_ERR_DQ,0,4712.317383,0,0,0,phase,3.0106
2016,January,L1,1136536562,3906011,1136536561,781250000,0.46875,Omicron,process:process_id:0,sngl_burst:event_id:21,43.879509,461.0784,908.098816,LSC-POP_A_RF45_I_ERR_DQ,0,4428.128418,0,0,0,phase,-1.99643
2016,January,L1,1136536564,3906011,1136536563,796875000,0.45312,Omicron,process:process_id:0,sngl_burst:event_id:23,43.879509,461.0784,908.098816,LSC-POP_A_RF45_I_ERR_DQ,0,4188.619629,0,0,0,phase,-0.72039
2016,January,L1,1136536566,3906011,1136536565,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:25,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3986.805176,0,0,0,phase,0.55579
2016,January,L1,1136536568,3906011,1136536567,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:27,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3816.956055,0,0,0,phase,1.8319
2016,January,L1,1136536570,3906011,1136536569,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:29,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3675.259521,0,0,0,phase,3.10808
2016,January,L1,1136536572,3906011,1136536571,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:34,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3557.793457,0,0,0,phase,-1.89895
2016,January,L1,1136536574,3906011,1136536573,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:38,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3462.510498,0,0,0,phase,-0.6228
2016,January,L1,1136536576,3906011,1136536575,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:42,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3386.885254,0,0,0,phase,0.65336
2016,January,L1,1136536578,3906011,1136536577,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:45,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3329.728027,0,0,0,phase,1.92948
2016,January,L1,1136536580,3906011,1136536579,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:46,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3289.668457,0,0,0,phase,-3.07753
2016,January,L1,1136536582,3906011,1136536581,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:47,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3265.953857,0,0,0,phase,-1.80139
2016,January,L1,1136536584,3906011,1136536583,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:48,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3258.180176,0,0,0,phase,-0.52521
2016,January,L1,1136536586,3906011,1136536585,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:49,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3265.993652,0,0,0,phase,0.75095
2016,January,L1,1136536588,3906011,1136536587,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:50,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3289.7854,0,0,0,phase,2.02711
2016,January,L1,1136536590,3906011,1136536589,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:51,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3329.812744,0,0,0,phase,-2.9799
2016,January,L1,1136536592,3906011,1136536591,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:53,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3387.040527,0,0,0,phase,-1.70378
2016,January,L1,1136536594,3906011,1136536593,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:57,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3462.628174,0,0,0,phase,-0.42761
2016,January,L1,1136536596,3906011,1136536595,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:61,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3557.991699,0,0,0,phase,0.8485
2016,January,L1,1136536598,3906011,1136536597,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:66,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3675.519531,0,0,0,phase,2.12468
2016,January,L1,1136536600,3906011,1136536599,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:69,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3817.290039,0,0,0,phase,-2.88236
2016,January,L1,1136536602,3906011,1136536601,812500000,0.4375,Omicron,process:process_id:0,sngl_burst:event_id:71,43.879509,461.497894,907.259888,LSC-POP_A_RF45_I_ERR_DQ,0,3987.332275,0,0,0,phase,-1.60621
2016,January,L1,1136536604,3906011,1136536603,796875000,0.45312,Omicron,process:process_id:0,sngl_burst:event_id:73,43.879509,461.0784,908.098816,LSC-POP_A_RF45_I_ERR_DQ,0,4189.108887,0,0,0,phase,-0.33004
2016,January,L1,1136536606,3906011,1136536605,781250000,0.46875,Omicron,process:process_id:0,sngl_burst:event_id:75,43.879509,461.0784,908.098816,LSC-POP_A_RF45_I_ERR_DQ,0,4428.861816,0,0,0,phase,0.94603
2016,January,L1,1136536608,3906011,1136536607,781250000,0.46875,Omicron,process:process_id:0,sngl_burst:event_id:77,43.879509,480.727539,947.397034,LSC-POP_A_RF45_I_ERR_DQ,0,4712.838867,0,0,0,phase,2.22219
2016,January,L1,1136536610,3906011,1136536609,781250000,0.53125,Omicron,process:process_id:0,sngl_burst:event_id:79,43.879509,480.727539,947.397034,LSC-POP_A_RF45_I_ERR_DQ,0,5050.391113,0,0,0,phase,-2.785
2016,January,L1,1136536612,3906011,1136536611,781250000,0.53125,Omicron,process:process_id:0,sngl_burst:event_id:81,43.879509,480.727539,947.397034,LSC-POP_A_RF45_I_ERR_DQ,0,5452.963379,0,0,0,phase,-1.50885
2016,January,L1,1136536614,3906011,1136536613,750000000,0.69531,Omicron,process:process_id:0,sngl_burst:event_id:83,43.879509,490.401367,968.243652,LSC-POP_A_RF45_I_ERR_DQ,0,5934.987305,0,0,0,phase,-0.23286
2016,January,L1,1136536643,996093034,1136536615,687500000,28.3125,Omicron,process:process_id:0,sngl_burst:event_id:86,43.879509,489.261597,970.523193,LSC-POP_A_RF45_I_ERR_DQ,0,273998.9063,0,0,0,phase,0.39169
2016,January,L1,1136676398,564452886,1136676394,0,7,Omicron,process:process_id:0,sngl_burst:event_id:84,964.422302,489.261597,970.523193,LSC-POP_A_RF45_I_ERR_DQ,0.460569,39191.58984,0,0,0,phase,0.3327
2016,January,L1,1137289830,382812023,1137289829,15625000,6.23438,Omicron,process:process_id:0,sngl_burst:event_id:0,26.94878,2464.836426,4921.672852,LSC-DARM_OUT_DQ,9.53618,1396.729736,0,0,0,phase,0.18152
2016,January,L1,1137809428,753906011,1137809426,375000000,4.91016,Omicron,process:process_id:0,sngl_burst:event_id:28,44.819481,869.972351,1729.627686,LSC-DARM_OUT_DQ,6.03072,1282.497925,0,0,0,phase,0.34384
2016,January,L1,1137989265,560547113,1137989260,500000000,21.5,Omicron,process:process_id:0,sngl_burst:event_id:14,74.540878,3900.092773,7792.185547,LSC-DARM_OUT_DQ,408.829987,3838.337158,0,0,0,phase,0.499
2016,January,L1,1137989674,427733898,1137989673,0,3,Omicron,process:process_id:0,sngl_burst:event_id:14,96.129883,540.56134,1073.122681,LSC-DARM_OUT_DQ,11.5181,2373.431641,0,0,0,phase,-2.12381
2016,January,L1,1137994672,101562023,1137994669,500000000,5.4375,Omicron,process:process_id:0,sngl_burst:event_id:50,45.92205,3901.419189,7789.533203,LSC-DARM_OUT_DQ,1.62248,2435.538086,0,0,0,phase,-2.64361
2016,January,L1,1137989388,871093034,1137989382,750000000,11.25,Omicron,process:process_id:0,sngl_burst:event_id:21,44.819481,3900.092773,7792.185547,LSC-DARM_OUT_DQ,278.274994,3235.480957,0,0,0,phase,-0.95779
2016,January,L1,1137994895,441406011,1137994886,0,16.125,Omicron,process:process_id:0,sngl_burst:event_id:31,44.819481,3900.092773,7792.185547,LSC-DARM_OUT_DQ,31.5399,6405.702637,0,0,0,phase,1.85962
2016,January,L1,1137991869,539062023,1137991866,3906011,9.24609,Omicron,process:process_id:0,sngl_burst:event_id:0,34.753849,3900.672119,7791.027344,LSC-DARM_OUT_DQ,18.623199,2765.674805,0,0,0,phase,1.01095
2016,January,L1,1137991865,960937023,1137991860,875000000,5.125,Omicron,process:process_id:0,sngl_burst:event_id:55,34.753849,1254.18811,2498.059326,LSC-DARM_OUT_DQ,12.8923,1923.96521,0,0,0,phase,0.86827
2016,January,L1,1137996958,671875000,1137996956,117187023,5.13281,Omicron,process:process_id:0,sngl_burst:event_id:29,26.032669,2603.631348,5199.262695,LSC-DARM_OUT_DQ,1.61339,1818.171509,0,0,0,phase,-2.81337
2016,January,L1,1138053306,515625000,1138053295,750000000,12.25,Omicron,process:process_id:0,sngl_burst:event_id:17,23.23904,3900.092773,7792.185547,LSC-DARM_OUT_DQ,37.381199,60919.25,0,0,0,phase,0.79388
2016,January,L1,1138025058,929687023,1138025055,0,7.5,Omicron,process:process_id:0,sngl_burst:event_id:20,34.753849,3900.092773,7792.185547,LSC-DARM_OUT_DQ,12.1919,1881.98291,0,0,0,phase,-3.01602
2016,January,L1,1138157241,375122070,1138157236,272460937,8.70361,Omicron,process:process_id:0,sngl_burst:event_id:10,7144.620605,3900.092773,7792.185547,LSC-DARM_OUT_DQ,0.031125,56451.01563,0,0,0,phase,-1.68346
2016,January,L1,1138053306,369139909,1138053296,343750000,11.65625,Omicron,process:process_id:0,sngl_burst:event_id:34,74.540878,3900.092773,7792.185547,LSC-MCL_IN1_DQ,2.18294,65087.15625,0,0,0,phase,1.82578
2016,January,L1,1137292887,750000000,1137292876,656250000,11.34375,Omicron,process:process_id:0,sngl_burst:event_id:30,8.20785,3900.092773,7792.185547,LSC-MCL_OUT_DQ,652.986023,1060.300049,0,0,0,phase,-1.28695
2016,January,L1,1138053306,369139909,1138053295,960937023,12.03906,Omicron,process:process_id:0,sngl_burst:event_id:34,74.540878,3900.092773,7792.185547,LSC-MCL_OUT_DQ,14099.79981,63936.53906,0,0,0,phase,-0.29756
2016,January,L1,1138157241,375243902,1138157238,242187023,6.67285,Omicron,process:process_id:0,sngl_burst:event_id:14,7715.249512,3900.092773,7792.185547,LSC-MCL_OUT_DQ,8.3113,5992.964355,0,0,0,phase,1.63208
2016,January,L1,1138053306,371093034,1138053301,750000000,6.25,Omicron,process:process_id:0,sngl_burst:event_id:12,44.819481,3900.092773,7792.185547,LSC-MICH_IN1_DQ,10.1243,9329.879883,0,0,0,phase,1.48581
2016,January,L1,1138157241,375243902,1138157236,618652105,8.88135,Omicron,process:process_id:0,sngl_burst:event_id:23,7715.249512,3900.092773,7792.185547,LSC-MICH_IN1_DQ,0.470809,56329.91016,0,0,0,phase,-1.52789
2016,January,L1,1138053306,378906011,1138053300,298827886,7.70117,Omicron,process:process_id:0,sngl_burst:event_id:11,44.819481,3900.092773,7792.185547,LSC-MICH_OUT_DQ,36.344501,8602.40918,0,0,0,phase,-1.81261
2016,January,L1,1138157241,375061035,1138157235,872313976,10.92114,Omicron,process:process_id:0,sngl_burst:event_id:12,4363.313965,3900.092773,7792.185547,LSC-MICH_OUT_DQ,27.606701,167899.1094,0,0,0,phase,-2.14752
2016,January,L1,1138053305,750000000,1138053300,3906011,5.99609,Omicron,process:process_id:0,sngl_burst:event_id:0,9.05917,469.371674,930.743347,LSC-POP_A_LF_OUT_DQ,0.664159,16514.10156,0,0,0,phase,0.51316
2016,January,L1,1138157241,375976085,1138157233,437500000,16.0625,Omicron,process:process_id:0,sngl_burst:event_id:22,893.004639,489.261597,970.523193,LSC-POP_A_LF_OUT_DQ,0.024893,56798.55078,0,0,0,phase,2.10568
2016,January,L1,1138157241,376952886,1138157233,937500000,13.5625,Omicron,process:process_id:0,sngl_burst:event_id:26,964.422302,489.261597,970.523193,LSC-POP_A_RF45_I_ERR_DQ,1.40885,114678.5313,0,0,0,phase,2.02223
2016,February,L1,1139189910,695312023,1139189908,578125000,7.42188,Omicron,process:process_id:0,sngl_burst:event_id:44,20.89658,3900.092773,7792.185547,LSC-DARM_OUT_DQ,23.225901,1044.126465,0,0,0,phase,0.86972
2016,February,L1,1139193109,765625000,1139193103,937500000,10.65625,Omicron,process:process_id:0,sngl_burst:event_id:37,26.032669,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.4199,2234.880859,0,0,0,phase,-1.46262
2016,February,L1,1139194075,687500000,1139194072,750000000,5.75,Omicron,process:process_id:0,sngl_burst:event_id:42,19.52437,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.14932,1032.029907,0,0,0,phase,-1.93872
2016,February,L1,1139194089,968750000,1139194087,843750000,4.15625,Omicron,process:process_id:0,sngl_burst:event_id:48,27.470909,152.978745,297.957489,LSC-DARM_OUT_DQ,0.52934,1005.653198,0,0,0,phase,1.05747
2016,February,L1,1139189625,773437023,1139189623,500000000,7,Omicron,process:process_id:0,sngl_burst:event_id:10,20.89658,3900.092773,7792.185547,LSC-DARM_OUT_DQ,22.749901,1012.210571,0,0,0,phase,0.95185
2016,February,L1,1139192152,875000000,1139192147,468750000,14.53125,Omicron,process:process_id:0,sngl_burst:event_id:58,22.3522,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.06448,1261.957397,0,0,0,phase,3.10996
2016,February,L1,1139372052,687500000,1139372037,0,16,Omicron,process:process_id:0,sngl_burst:event_id:3,30.56934,3900.092773,7792.185547,LSC-DARM_OUT_DQ,2.19507,3030.665771,0,0,0,phase,-1.87985
2016,February,L1,1139981244,578125000,1139981242,750000000,3.25,Omicron,process:process_id:0,sngl_burst:event_id:46,26.032669,3903.625,7785.121582,LSC-DARM_OUT_DQ,0.873626,1119.297607,0,0,0,phase,1.83819
2016,February,L1,1139980954,546875000,1139980953,0,4.5,Omicron,process:process_id:0,sngl_burst:event_id:20,29.16213,3014.581543,6017.344727,LSC-DARM_OUT_DQ,0.77569,1070.467163,0,0,0,phase,-0.86526
2016,February,L1,1140236176,773437023,1140236173,750000000,6.25,Omicron,process:process_id:0,sngl_burst:event_id:7,34.753849,3900.672119,7791.027344,LSC-DARM_OUT_DQ,0.818961,2306.045166,0,0,0,phase,2.74521
2016,February,L1,1140677176,863037109,1140677175,562500000,2.625,Omicron,process:process_id:0,sngl_burst:event_id:14,7715.249512,3902.382568,7787.606445,LSC-DARM_OUT_DQ,0.000208,4634.548828,0,0,0,phase,-0.8056
2016,February,L1,1140608265,492187023,1140608265,3906011,2.51172,Omicron,process:process_id:0,sngl_burst:event_id:0,34.753849,254.355652,495.681396,LSC-DARM_OUT_DQ,1.49195,2107.56665,0,0,0,phase,-1.54495
2016,February,L1,1140613622,210937023,1140613620,500000000,9.5,Omicron,process:process_id:0,sngl_burst:event_id:14,45.92205,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.11291,1055.95752,0,0,0,phase,-0.16942
2016,February,L1,1140756990,375000000,1140756982,0,18,Omicron,process:process_id:0,sngl_burst:event_id:16,23.79652,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.53522,2352.500488,0,0,0,phase,-1.48953
2016,February,L1,1140753583,860351085,1140753582,775389909,2.22461,Omicron,process:process_id:0,sngl_burst:event_id:0,2028.751709,3903.625,7785.121582,LSC-DARM_OUT_DQ,0.328194,1539.361938,0,0,0,phase,-2.68747
2016,February,L1,1140820567,39062023,1140820564,425781011,6.27734,Omicron,process:process_id:0,sngl_burst:event_id:5,34.753849,3901.419189,7789.533203,LSC-DARM_OUT_DQ,1.0549,1321.654053,0,0,0,phase,-0.97968
2016,February,L1,1140819781,801757097,1140819780,500000000,2.75,Omicron,process:process_id:0,sngl_burst:event_id:22,2071.539795,3902.382568,7787.606445,LSC-DARM_OUT_DQ,0.186643,1014.00531,0,0,0,phase,-0.27041
2016,February,L1,1140236176,773437023,1140236170,375000000,9.625,Omicron,process:process_id:0,sngl_burst:event_id:38,20.89658,3900.092773,7792.185547,LSC-MCL_IN1_DQ,0.286364,4166.676758,0,0,0,phase,-0.25333
2016,February,L1,1140236176,773437023,1140236170,437500000,9.5625,Omicron,process:process_id:0,sngl_burst:event_id:39,20.89658,3900.092773,7792.185547,LSC-MCL_OUT_DQ,780.586975,4191.322754,0,0,0,phase,3.03345
2016,February,L1,1140236176,761229991,1140236173,500000000,4.5,Omicron,process:process_id:0,sngl_burst:event_id:62,546.02301,489.261597,970.523193,LSC-POP_A_LF_OUT_DQ,0.0085,1421.461182,0,0,0,phase,2.63562
2016,March,L1,1140924134,625243902,1140924128,979491949,21.52051,Omicron,process:process_id:0,sngl_burst:event_id:5,7715.249512,3901.419189,7789.533203,LSC-DARM_OUT_DQ,0.006959,144722.2656,0,0,0,phase,1.7728
2016,March,L1,1141019416,125000000,1141019410,410156011,11.58984,Omicron,process:process_id:0,sngl_burst:event_id:5,23.304991,3900.092773,7792.185547,LSC-DARM_OUT_DQ,0.749043,1215.9021,0,0,0,phase,-1.34229
2016,March,L1,1141027449,203125000,1141027443,500000000,10.25,Omicron,process:process_id:0,sngl_burst:event_id:9,32.667789,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.23953,3031.084717,0,0,0,phase,-0.95314
2016,March,L1,1141027482,765625000,1141027477,750000000,8.25,Omicron,process:process_id:0,sngl_burst:event_id:23,32.667789,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.1626,2842.958252,0,0,0,phase,-2.82618
2016,March,L1,1141061004,437500000,1141060999,375000000,6.625,Omicron,process:process_id:0,sngl_burst:event_id:24,55.995541,3901.419189,7789.533203,LSC-DARM_OUT_DQ,2.82109,5004.96875,0,0,0,phase,-2.56415
2016,March,L1,1141019949,796875000,1141019944,500000000,10,Omicron,process:process_id:0,sngl_burst:event_id:21,26.032669,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.54105,1832.717041,0,0,0,phase,1.32347
2016,March,L1,1141021016,234375000,1141021009,500000000,13,Omicron,process:process_id:0,sngl_burst:event_id:2,29.16213,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.48846,3062.513916,0,0,0,phase,1.65259
2016,March,L1,1141026681,765625000,1141026677,0,10.25,Omicron,process:process_id:0,sngl_burst:event_id:17,29.16213,3900.092773,7792.185547,LSC-DARM_OUT_DQ,0.764492,1727.926758,0,0,0,phase,-2.62004
2016,March,L1,1141028050,546875000,1141028043,451659917,12.29834,Omicron,process:process_id:0,sngl_burst:event_id:16,40.994049,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.07378,3060.548584,0,0,0,phase,-2.35286
2016,March,L1,1141028081,859375000,1141028076,949218034,9.05078,Omicron,process:process_id:0,sngl_burst:event_id:28,36.594872,3901.047607,7790.276367,LSC-DARM_OUT_DQ,0.385993,1012.555908,0,0,0,phase,-2.63356
2016,March,L1,1141019253,375000000,1141019253,7812023,7.86719,Omicron,process:process_id:0,sngl_burst:event_id:0,23.304991,1491.671997,2975.343994,LSC-DARM_OUT_DQ,0.996139,1619.568848,0,0,0,phase,-0.0136
2016,March,L1,1141020150,125000000,1141020144,0,12.5,Omicron,process:process_id:0,sngl_burst:event_id:29,25.33416,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.1302,2575.256348,0,0,0,phase,1.15639
2016,March,L1,1141019983,734375000,1141019977,0,14.5,Omicron,process:process_id:0,sngl_burst:event_id:3,29.16213,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.45146,2946.894043,0,0,0,phase,1.68219
2016,March,L1,1141021114,796875000,1141021109,0,6,Omicron,process:process_id:0,sngl_burst:event_id:15,36.594872,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.47617,4752.869141,0,0,0,phase,2.05369
2016,March,L1,1141026715,890625000,1141026709,0,13.5,Omicron,process:process_id:0,sngl_burst:event_id:0,26.032669,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.00745,1863.33728,0,0,0,phase,-1.22945
2016,March,L1,1141019516,953125000,1141019510,250000000,12.25,Omicron,process:process_id:0,sngl_burst:event_id:5,36.594872,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.16762,3591.195068,0,0,0,phase,-2.06733
2016,March,L1,1141019581,640625000,1141019577,0,11,Omicron,process:process_id:0,sngl_burst:event_id:22,29.16213,3900.092773,7792.185547,LSC-DARM_OUT_DQ,1.12062,2253.254639,0,0,0,phase,-0.00744
